id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,City Lights,Verse & Hook,hip-hop,hype,0.88,95,0.72,0.85,0.06
12,Pulse Generator,Voltage Drop,electronic,euphoric,0.95,140,0.80,0.92,0.03
13,Morning Sonata,Clara Voss,classical,peaceful,0.22,68,0.75,0.30,0.97
14,Slow Burn,Velvet Theory,r&b,smooth,0.55,92,0.68,0.70,0.38
15,Porch Swing,Red Clay Road,country,nostalgic,0.45,85,0.73,0.52,0.88
16,Iron Curtain,Dreadnought,metal,intense,0.96,168,0.32,0.60,0.04
17,Delta Dust,Old River,blues,melancholy,0.33,74,0.41,0.48,0.81
18,Wildflower Road,June & the Sparrows,folk,dreamy,0.30,76,0.70,0.45,0.90
